"Store Name","Product Name",Quantity,"Unit Price",Amount
"MY STORE","Sukhia DAP",1578,1500.00,2367000.00
"MY STORE","Sukhia Natraj",150,1142.86,171428.57
"MY STORE",Crygib,1500,1095.24,1642857.14
"MY STORE",DAP,900,1030.00,927000.00
"MY STORE",MOP,850,1020.00,867000.00
"MY STORE","Gromor 20-20-0-13",150,450.00,67500.00
"MY STORE",Corona,90,50.00,4500.00
"MY STORE","Shriram Arito",392,100.00,39200.00
"MY STORE","Shriram Maxo",898,50.00,44900.00
"MY STORE",Aliette,100,510.00,51000.00
"MY STORE",Cuprina,150,450.00,67500.00
"MY STORE",Adora,1000,100.00,100000.00
"MY STORE",Topstar,1995,160.00,319200.00
"MY STORE",Solaro,305,170.00,51850.00
"MY STORE",Admire,199,95.24,18952.38
"MY STORE","Chem Atlanto",99,120.00,11880.00
"MY STORE",Confidor,129,95.24,12285.71
"MY STORE","Confidor Super 350 Sc",149,60.00,8940.00
"MY STORE",Dadeci,229,70.00,16030.00
"MY STORE","Decis 2.8",399,90.00,35910.00
"MY STORE","Decis 100",300,80.00,24000.00
"MY STORE",Fame,80,120.00,9600.00
"MY STORE",Glamore,548,100.00,54800.00
"MY STORE",Jump,490,120.00,58800.00
"MY STORE",Larvin,13,130.00,1690.00
"MY STORE","Heera 303",500,450.00,225000.00
"MY STORE",Feedcel,8000,120.00,960000.00
"MY STORE",ALIEN,3500,452.00,1582000.00
"MY STORE","Shiram Forza",4020,150.00,603000.00
"MY STORE","BAJRA B-70 ",5000,100.00,500000.00
"MY STORE","Bhindi Annika ",2000,120.00,240000.00
"MY STORE","Gromor Spray K",7850,630.00,4945500.00
"MY STORE","Ultrasol MKP",582,1150.00,669300.00
"MY STORE","Weedmar Super",120,530.00,63600.00
"MY STORE",Biolin,250,320.00,80000.00
"MY STORE",Leo,1550,100.00,155000.00
"MY STORE","Shriram SSP",800,110.00,88000.00
"MY STORE","Shuguna ",630,120.00,75600.00
"MY STORE","Shriram Neem Coated Urea",500,100.00,50000.00
"MY STORE",Ramkal,100,880.00,88000.00
