"Product id",Name,Quantity,"Mitra Quantity",Price,Tax,"Price With Tax","Total Amount","Total Mitra Amount"
1077,AAGHAAT,116,1000,12.5,0,12.5,1450,12500
1201,ACEMAIN,0,2,5,0,5,0,10
901,ADMIRE,0,80,104.7619047619,4.7619047619048,100,0,8000
817,AFFINITY,62,3,110.99,5.045,105.945,6568.59,317.835
903,ATLANTO,99,80,120,0,120,11880,9600
2721,BAGGIT,0,1,33,1.5,31.5,0,31.5
23,DAP,829,902,1030,0,1030,853870,929060
539,TOPSTAR,1994,80,160,0,160,319040,12800
2878,"WILLOWOOD BRAND GR MATCA - 20 KG",0,80,2927.4576271187,387.45762711865,2540.0000000001,0,203200
3033,ZINC,10,20,310,30,280,2800,5600
